name,collection,severity,polygons,vertices,dimensions,location,material_count,materials,issues,recommendation
Mesh_0,Collection 5,2,50000,30538,2.27 x 1.173 x 0.318,"-6.39, 5.902, 0.004",1,Material.037,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.001,Collection 5,2,50000,29504,5.103 x 4.449 x 4.933,"8.693, 8.956, -0.061",1,Material.038,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.002,Collection 5,2,50000,29677,1.111 x 0.399 x 0.534,"4.748, 0.572, 0.8",1,Material.039,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.003,Collection 5,2,50000,33293,2.5 x 2.197 x 1.879,"8.107, -0.909, 0.131",1,Material.040,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.004,Collection 5,2,40164,28431,1.705 x 0.739 x 0.965,"-14.496, -5.19, 0.302",1,Material.041,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.005,Collection 5,2,33134,20792,2.397 x 0.67 x 4.24,"-0.651, -10.802, 0.04",1,Material.042,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.006,Collection 5,2,49966,33634,2.239 x 0.805 x 0.725,"10.495, 6.801, -0.02",1,Material.043,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.007,Collection 5,2,13511,8018,1.389 x 1.296 x 1.367,"0.239, -6.752, 0.13",1,Material.042,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.008,Collection 5,1,2962,2029,2.479 x 0.854 x 0.557,"13.042, -3.278, 0.01",1,Material.042,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
Mesh_0.009,04_Stone_Ring_Road,2,50000,24998,1.508 x 0.882 x 0.739,"4.904, 0.467, 0.35",1,Material.058,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.010,Collection,3,50004,36643,4.816 x 0.236 x 4.858,"0.149, -0.212, 0.12",1,Material.066,auto_import_name;very_high_poly_gt_50k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.011,04_Stone_Ring_Road,2,50000,24998,1.509 x 0.883 x 0.74,"-3.174, 7.02, 0.116",1,Material.060,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
Mesh_0.014,04_Stone_Ring_Road,1,2962,2029,2.48 x 0.855 x 0.543,"13.495, -4.857, 0.035",1,Material.082,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
Mesh_0.015,04_Stone_Ring_Road,1,2953,1999,1.554 x 0.854 x 0.302,"11.149, -4.542, -0.03",1,Material.083,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
Mesh_0.016,04_Stone_Ring_Road,1,2953,1999,1.554 x 0.854 x 0.302,"11.253, -3.537, -0.03",1,Material.084,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
Mesh_0.017,04_Stone_Ring_Road,1,2953,1999,1.554 x 0.854 x 0.302,"11.463, -2.642, -0.03",1,Material.086,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.001,Collection 5,2,36372,25776,1.837 x 1.36 x 0.899,"-10.836, 3.601, 0.196",1,Material.031,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.002,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-17.894, -1.752, 0.364",1,Material.025,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.005,Collection 5,2,50000,30056,3.183 x 2.02 x 2.643,"2.567, -7.353, 0.054",1,Material.035,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.006,Collection 5,2,19553,11595,3.141 x 2.07 x 0.927,"10.942, -9.986, 0.052",1,Material.050,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.007,Collection 5,2,49872,37943,7.518 x 5.286 x 4.799,"0.465, 11.455, -0.005",1,Material.044,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.008,Collection 5,2,50000,38501,6.179 x 6.172 x 5.302,"-12.466, -3.76, 0.382",1,Material.045,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.009,Collection 5,2,50000,35108,12.982 x 6.494 x 3.173,"-0.895, -14.449, -0.029",1,Material.046,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.011,Collection 5,3,50272,31067,2.386 x 0.762 x 0.804,"8.667, 9.495, 0.267",1,Material.048,auto_import_name;very_high_poly_gt_50k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.012,Collection 5,2,21962,12525,3.041 x 2.261 x 0.966,"15.767, 3.499, -0.038",1,Material.049,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.014,Scene Collection,2,20228,13563,1.194 x 1.72 x 0.915,"11.362, -10.632, -0.151",1,Material.122,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.015,Collection 5,2,49996,35562,1.986 x 0.557 x 1.756,"5.218, 10.715, 0.466",1,Material.052,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.016,Collection 5,2,20228,13563,0.955 x 1.373 x 0.732,"-13.554, 6.069, -0.01",1,Material.053,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.017,Collection 5,2,50000,32996,7.508 x 6.007 x 5.095,"12.499, -3.947, -0.014",1,Material.029,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.018,Collection 5,2,49736,39968,3.79 x 8.215 x 3.84,"-10.668, 6.357, 0.176",1,Material.054,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.019,Collection 5,3,50012,29513,1.683 x 0.769 x 1.918,"14.621, -2.868, 0.004",1,Material.055,auto_import_name;very_high_poly_gt_50k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.020,Scene Collection,2,20943,12191,1.996 x 0.937 x 0.307,"-17.142, -3.774, 0.337",1,Material.026,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
